,board_id,root_hash,solution_id,size,difficulty,missing_cells,puzzle_grid,solution_grid
0,S4_hard_41f4f9d991906f75,41f4f9d991906f75,3214142341322341,4,hard,11,"[[0, 0, 0, 0], [1, 0, 2, 0], [0, 0, 0, 0], [2, 3, 4, 0]]","[[3, 2, 1, 4], [1, 4, 2, 3], [4, 1, 3, 2], [2, 3, 4, 1]]"
1,S4_medium_41f4f9d991906f75,41f4f9d991906f75,3214142341322341,4,medium,8,"[[0, 2, 0, 4], [1, 0, 2, 0], [0, 0, 0, 2], [2, 3, 4, 0]]","[[3, 2, 1, 4], [1, 4, 2, 3], [4, 1, 3, 2], [2, 3, 4, 1]]"
2,S4_easy_41f4f9d991906f75,41f4f9d991906f75,3214142341322341,4,easy,6,"[[0, 2, 0, 4], [1, 4, 2, 3], [0, 0, 0, 2], [2, 3, 4, 0]]","[[3, 2, 1, 4], [1, 4, 2, 3], [4, 1, 3, 2], [2, 3, 4, 1]]"
3,S4_hard_6928aa3ed787be2b,6928aa3ed787be2b,2143342112344312,4,hard,11,"[[0, 0, 4, 0], [0, 0, 2, 1], [0, 2, 0, 0], [4, 0, 0, 0]]","[[2, 1, 4, 3], [3, 4, 2, 1], [1, 2, 3, 4], [4, 3, 1, 2]]"
4,S4_medium_6928aa3ed787be2b,6928aa3ed787be2b,2143342112344312,4,medium,8,"[[0, 0, 4, 0], [3, 0, 2, 1], [1, 2, 0, 0], [4, 3, 0, 0]]","[[2, 1, 4, 3], [3, 4, 2, 1], [1, 2, 3, 4], [4, 3, 1, 2]]"
5,S4_easy_6928aa3ed787be2b,6928aa3ed787be2b,2143342112344312,4,easy,6,"[[0, 0, 4, 3], [3, 4, 2, 1], [1, 2, 0, 0], [4, 3, 0, 0]]","[[2, 1, 4, 3], [3, 4, 2, 1], [1, 2, 3, 4], [4, 3, 1, 2]]"
6,S4_hard_40aac12f10d97895,40aac12f10d97895,2341143232144123,4,hard,11,"[[0, 0, 4, 0], [1, 0, 0, 0], [3, 0, 0, 0], [4, 0, 2, 0]]","[[2, 3, 4, 1], [1, 4, 3, 2], [3, 2, 1, 4], [4, 1, 2, 3]]"
7,S4_medium_40aac12f10d97895,40aac12f10d97895,2341143232144123,4,medium,8,"[[0, 0, 4, 0], [1, 0, 0, 2], [3, 0, 0, 4], [4, 1, 2, 0]]","[[2, 3, 4, 1], [1, 4, 3, 2], [3, 2, 1, 4], [4, 1, 2, 3]]"
8,S4_easy_40aac12f10d97895,40aac12f10d97895,2341143232144123,4,easy,6,"[[2, 0, 4, 0], [1, 0, 3, 2], [3, 0, 0, 4], [4, 1, 2, 0]]","[[2, 3, 4, 1], [1, 4, 3, 2], [3, 2, 1, 4], [4, 1, 2, 3]]"
9,S4_hard_d9bb5adb610c999d,d9bb5adb610c999d,2143432132141432,4,hard,11,"[[0, 0, 4, 0], [0, 0, 0, 1], [3, 0, 0, 0], [1, 4, 0, 0]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 2, 1, 4], [1, 4, 3, 2]]"
10,S4_medium_d9bb5adb610c999d,d9bb5adb610c999d,2143432132141432,4,medium,8,"[[0, 0, 4, 0], [0, 0, 2, 1], [3, 0, 1, 0], [1, 4, 3, 0]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 2, 1, 4], [1, 4, 3, 2]]"
11,S4_easy_d9bb5adb610c999d,d9bb5adb610c999d,2143432132141432,4,easy,6,"[[2, 1, 4, 0], [0, 0, 2, 1], [3, 0, 1, 0], [1, 4, 3, 0]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 2, 1, 4], [1, 4, 3, 2]]"
12,S4_hard_bfe35571a4dbb2bd,bfe35571a4dbb2bd,2134431212433421,4,hard,11,"[[0, 0, 0, 0], [0, 3, 0, 2], [1, 2, 0, 3], [0, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 1, 2], [1, 2, 4, 3], [3, 4, 2, 1]]"
13,S4_medium_bfe35571a4dbb2bd,bfe35571a4dbb2bd,2134431212433421,4,medium,8,"[[2, 0, 0, 0], [4, 3, 1, 2], [1, 2, 0, 3], [0, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 1, 2], [1, 2, 4, 3], [3, 4, 2, 1]]"
14,S4_easy_bfe35571a4dbb2bd,bfe35571a4dbb2bd,2134431212433421,4,easy,6,"[[2, 0, 3, 0], [4, 3, 1, 2], [1, 2, 0, 3], [3, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 1, 2], [1, 2, 4, 3], [3, 4, 2, 1]]"
15,S4_hard_af0d8b78482096d9,af0d8b78482096d9,1432321443212143,4,hard,11,"[[1, 4, 3, 0], [0, 0, 0, 0], [0, 0, 2, 0], [0, 1, 0, 0]]","[[1, 4, 3, 2], [3, 2, 1, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
16,S4_medium_af0d8b78482096d9,af0d8b78482096d9,1432321443212143,4,medium,8,"[[1, 4, 3, 0], [0, 0, 0, 4], [0, 0, 2, 0], [2, 1, 0, 3]]","[[1, 4, 3, 2], [3, 2, 1, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
17,S4_easy_af0d8b78482096d9,af0d8b78482096d9,1432321443212143,4,easy,6,"[[1, 4, 3, 2], [0, 0, 1, 4], [0, 0, 2, 0], [2, 1, 0, 3]]","[[1, 4, 3, 2], [3, 2, 1, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
18,S4_hard_2cb6efa233716ebe,2cb6efa233716ebe,2134431234211243,4,hard,11,"[[0, 1, 0, 0], [0, 0, 1, 2], [0, 4, 0, 0], [0, 0, 0, 3]]","[[2, 1, 3, 4], [4, 3, 1, 2], [3, 4, 2, 1], [1, 2, 4, 3]]"
19,S4_medium_2cb6efa233716ebe,2cb6efa233716ebe,2134431234211243,4,medium,8,"[[0, 1, 0, 4], [0, 0, 1, 2], [0, 4, 2, 0], [0, 0, 4, 3]]","[[2, 1, 3, 4], [4, 3, 1, 2], [3, 4, 2, 1], [1, 2, 4, 3]]"
20,S4_easy_2cb6efa233716ebe,2cb6efa233716ebe,2134431234211243,4,easy,6,"[[0, 1, 0, 4], [0, 0, 1, 2], [3, 4, 2, 0], [1, 0, 4, 3]]","[[2, 1, 3, 4], [4, 3, 1, 2], [3, 4, 2, 1], [1, 2, 4, 3]]"
21,S4_hard_219a52a1fa4dd067,219a52a1fa4dd067,1423324123144132,4,hard,11,"[[0, 0, 0, 0], [3, 2, 4, 0], [0, 0, 0, 0], [0, 1, 0, 2]]","[[1, 4, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [4, 1, 3, 2]]"
22,S4_medium_219a52a1fa4dd067,219a52a1fa4dd067,1423324123144132,4,medium,8,"[[0, 0, 0, 3], [3, 2, 4, 0], [2, 0, 1, 0], [0, 1, 0, 2]]","[[1, 4, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [4, 1, 3, 2]]"
23,S4_easy_219a52a1fa4dd067,219a52a1fa4dd067,1423324123144132,4,easy,6,"[[0, 0, 0, 3], [3, 2, 4, 0], [2, 0, 1, 4], [4, 1, 0, 2]]","[[1, 4, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [4, 1, 3, 2]]"
24,S4_hard_4a6b6df52018da5c,4a6b6df52018da5c,2134432134121243,4,hard,11,"[[0, 1, 0, 4], [0, 3, 0, 0], [0, 0, 1, 0], [1, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 4, 3]]"
25,S4_medium_4a6b6df52018da5c,4a6b6df52018da5c,2134432134121243,4,medium,8,"[[2, 1, 0, 4], [4, 3, 0, 0], [0, 0, 1, 2], [1, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 4, 3]]"
26,S4_easy_4a6b6df52018da5c,4a6b6df52018da5c,2134432134121243,4,easy,6,"[[2, 1, 0, 4], [4, 3, 2, 0], [0, 4, 1, 2], [1, 0, 0, 0]]","[[2, 1, 3, 4], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 4, 3]]"
27,S4_hard_781e73528b106f74,781e73528b106f74,2314413232411423,4,hard,11,"[[2, 0, 0, 0], [0, 1, 3, 0], [0, 0, 4, 0], [1, 0, 0, 0]]","[[2, 3, 1, 4], [4, 1, 3, 2], [3, 2, 4, 1], [1, 4, 2, 3]]"
28,S4_medium_781e73528b106f74,781e73528b106f74,2314413232411423,4,medium,8,"[[2, 0, 0, 0], [0, 1, 3, 0], [3, 2, 4, 0], [1, 0, 0, 3]]","[[2, 3, 1, 4], [4, 1, 3, 2], [3, 2, 4, 1], [1, 4, 2, 3]]"
29,S4_easy_781e73528b106f74,781e73528b106f74,2314413232411423,4,easy,6,"[[2, 0, 0, 0], [0, 1, 3, 2], [3, 2, 4, 0], [1, 0, 2, 3]]","[[2, 3, 1, 4], [4, 1, 3, 2], [3, 2, 4, 1], [1, 4, 2, 3]]"
30,S4_hard_bf09d4dce87e4595,bf09d4dce87e4595,2134342142131342,4,hard,11,"[[0, 0, 0, 0], [0, 4, 2, 0], [4, 0, 0, 3], [1, 0, 0, 0]]","[[2, 1, 3, 4], [3, 4, 2, 1], [4, 2, 1, 3], [1, 3, 4, 2]]"
31,S4_medium_bf09d4dce87e4595,bf09d4dce87e4595,2134342142131342,4,medium,8,"[[0, 0, 3, 0], [0, 4, 2, 1], [4, 0, 0, 3], [1, 3, 0, 0]]","[[2, 1, 3, 4], [3, 4, 2, 1], [4, 2, 1, 3], [1, 3, 4, 2]]"
32,S4_easy_bf09d4dce87e4595,bf09d4dce87e4595,2134342142131342,4,easy,6,"[[0, 1, 3, 0], [3, 4, 2, 1], [4, 0, 0, 3], [1, 3, 0, 0]]","[[2, 1, 3, 4], [3, 4, 2, 1], [4, 2, 1, 3], [1, 3, 4, 2]]"
33,S4_hard_663bb6e183a7a957,663bb6e183a7a957,4123321423411432,4,hard,11,"[[0, 1, 0, 3], [0, 0, 0, 0], [2, 3, 4, 0], [0, 0, 0, 0]]","[[4, 1, 2, 3], [3, 2, 1, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
34,S4_medium_663bb6e183a7a957,663bb6e183a7a957,4123321423411432,4,medium,8,"[[0, 1, 2, 3], [0, 2, 0, 0], [2, 3, 4, 0], [0, 4, 0, 0]]","[[4, 1, 2, 3], [3, 2, 1, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
35,S4_easy_663bb6e183a7a957,663bb6e183a7a957,4123321423411432,4,easy,6,"[[0, 1, 2, 3], [0, 2, 0, 0], [2, 3, 4, 1], [0, 4, 3, 0]]","[[4, 1, 2, 3], [3, 2, 1, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
36,S4_hard_f71bdb22faba0b62,f71bdb22faba0b62,2143432134121234,4,hard,11,"[[0, 0, 4, 0], [0, 3, 0, 1], [0, 0, 1, 0], [0, 2, 0, 0]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 3, 4]]"
37,S4_medium_f71bdb22faba0b62,f71bdb22faba0b62,2143432134121234,4,medium,8,"[[0, 0, 4, 0], [4, 3, 0, 1], [0, 0, 1, 2], [1, 2, 0, 0]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 3, 4]]"
38,S4_easy_f71bdb22faba0b62,f71bdb22faba0b62,2143432134121234,4,easy,6,"[[0, 0, 4, 3], [4, 3, 0, 1], [0, 0, 1, 2], [1, 2, 0, 4]]","[[2, 1, 4, 3], [4, 3, 2, 1], [3, 4, 1, 2], [1, 2, 3, 4]]"
39,S4_hard_bf1cdf78d0ca6fad,bf1cdf78d0ca6fad,1423234132144132,4,hard,11,"[[0, 0, 0, 3], [2, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 2]]","[[1, 4, 2, 3], [2, 3, 4, 1], [3, 2, 1, 4], [4, 1, 3, 2]]"
40,S4_medium_bf1cdf78d0ca6fad,bf1cdf78d0ca6fad,1423234132144132,4,medium,8,"[[0, 0, 0, 3], [2, 0, 0, 1], [0, 0, 1, 4], [0, 1, 3, 2]]","[[1, 4, 2, 3], [2, 3, 4, 1], [3, 2, 1, 4], [4, 1, 3, 2]]"
41,S4_easy_bf1cdf78d0ca6fad,bf1cdf78d0ca6fad,1423234132144132,4,easy,6,"[[0, 4, 0, 3], [2, 0, 4, 1], [0, 0, 1, 4], [0, 1, 3, 2]]","[[1, 4, 2, 3], [2, 3, 4, 1], [3, 2, 1, 4], [4, 1, 3, 2]]"
42,S4_hard_e49b8226f1d3c17f,e49b8226f1d3c17f,2143342143121234,4,hard,11,"[[0, 0, 4, 0], [3, 0, 0, 1], [4, 0, 0, 0], [0, 2, 0, 0]]","[[2, 1, 4, 3], [3, 4, 2, 1], [4, 3, 1, 2], [1, 2, 3, 4]]"
43,S4_medium_e49b8226f1d3c17f,e49b8226f1d3c17f,2143342143121234,4,medium,8,"[[2, 1, 4, 0], [3, 0, 0, 1], [4, 0, 0, 0], [0, 2, 0, 4]]","[[2, 1, 4, 3], [3, 4, 2, 1], [4, 3, 1, 2], [1, 2, 3, 4]]"
44,S4_easy_e49b8226f1d3c17f,e49b8226f1d3c17f,2143342143121234,4,easy,6,"[[2, 1, 4, 3], [3, 0, 2, 1], [4, 0, 0, 0], [0, 2, 0, 4]]","[[2, 1, 4, 3], [3, 4, 2, 1], [4, 3, 1, 2], [1, 2, 3, 4]]"
45,S4_hard_56266eb2094b912f,56266eb2094b912f,1342421321343421,4,hard,11,"[[0, 3, 0, 0], [4, 0, 0, 0], [0, 1, 0, 4], [3, 0, 0, 0]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 1, 3, 4], [3, 4, 2, 1]]"
46,S4_medium_56266eb2094b912f,56266eb2094b912f,1342421321343421,4,medium,8,"[[1, 3, 0, 0], [4, 0, 1, 0], [0, 1, 0, 4], [3, 0, 0, 1]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 1, 3, 4], [3, 4, 2, 1]]"
47,S4_easy_56266eb2094b912f,56266eb2094b912f,1342421321343421,4,easy,6,"[[1, 3, 0, 0], [4, 0, 1, 3], [2, 1, 0, 4], [3, 0, 0, 1]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 1, 3, 4], [3, 4, 2, 1]]"
48,S4_hard_85fffef6e14a7ac6,85fffef6e14a7ac6,3241142323144132,4,hard,11,"[[0, 0, 4, 0], [0, 4, 0, 3], [2, 3, 0, 0], [0, 0, 0, 0]]","[[3, 2, 4, 1], [1, 4, 2, 3], [2, 3, 1, 4], [4, 1, 3, 2]]"
49,S4_medium_85fffef6e14a7ac6,85fffef6e14a7ac6,3241142323144132,4,medium,8,"[[0, 2, 4, 0], [0, 4, 2, 3], [2, 3, 0, 0], [0, 0, 3, 0]]","[[3, 2, 4, 1], [1, 4, 2, 3], [2, 3, 1, 4], [4, 1, 3, 2]]"
50,S4_easy_85fffef6e14a7ac6,85fffef6e14a7ac6,3241142323144132,4,easy,6,"[[0, 2, 4, 0], [0, 4, 2, 3], [2, 3, 1, 4], [0, 0, 3, 0]]","[[3, 2, 4, 1], [1, 4, 2, 3], [2, 3, 1, 4], [4, 1, 3, 2]]"
51,S4_hard_db8655921963212d,db8655921963212d,3214143243212143,4,hard,11,"[[3, 2, 0, 0], [1, 0, 0, 0], [0, 3, 2, 0], [0, 0, 0, 0]]","[[3, 2, 1, 4], [1, 4, 3, 2], [4, 3, 2, 1], [2, 1, 4, 3]]"
52,S4_medium_db8655921963212d,db8655921963212d,3214143243212143,4,medium,8,"[[3, 2, 1, 0], [1, 0, 0, 0], [0, 3, 2, 1], [0, 1, 0, 0]]","[[3, 2, 1, 4], [1, 4, 3, 2], [4, 3, 2, 1], [2, 1, 4, 3]]"
53,S4_easy_db8655921963212d,db8655921963212d,3214143243212143,4,easy,6,"[[3, 2, 1, 0], [1, 0, 3, 2], [0, 3, 2, 1], [0, 1, 0, 0]]","[[3, 2, 1, 4], [1, 4, 3, 2], [4, 3, 2, 1], [2, 1, 4, 3]]"
54,S4_hard_a5c9f7f6a58b3839,a5c9f7f6a58b3839,4213134221343421,4,hard,11,"[[0, 0, 1, 0], [0, 3, 0, 0], [0, 1, 0, 0], [0, 0, 2, 1]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
55,S4_medium_a5c9f7f6a58b3839,a5c9f7f6a58b3839,4213134221343421,4,medium,8,"[[0, 0, 1, 0], [0, 3, 0, 0], [0, 1, 0, 4], [3, 4, 2, 1]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
56,S4_easy_a5c9f7f6a58b3839,a5c9f7f6a58b3839,4213134221343421,4,easy,6,"[[0, 2, 1, 3], [0, 3, 0, 0], [0, 1, 0, 4], [3, 4, 2, 1]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
57,S4_hard_06f8c303a7c14438,06f8c303a7c14438,3412123423414123,4,hard,11,"[[0, 0, 1, 2], [0, 0, 3, 0], [2, 0, 0, 0], [0, 1, 0, 0]]","[[3, 4, 1, 2], [1, 2, 3, 4], [2, 3, 4, 1], [4, 1, 2, 3]]"
